pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 666	Average Score: 18.07
Episode 667	Average Score: 26.16
Episode 668	Average Score: 34.22
Episode 669	Average Score: 34.20
Episode 670	Average Score: 26.17
Episode 671	Average Score: 26.23
Episode 672	Average Score: 26.26
Episode 673	Average Score: 26.22
Episode 674	Average Score: 18.13
Episode 675	Average Score: 10.07
Episode 676	Average Score: 10.04
Episode 677	Average Score: 17.91
Episode 678	Average Score: 25.94
Episode 679	Average Score: 25.97
Episode 680	Average Score: 17.94
Episode 681	Average Score: 9.91
Episode 682	Average Score: 10.17
Episode 683	Average Score: 2.14
Episode 684	Average Score: 2.14
Episode 685	Average Score: 2.14
Episode 686	Average Score: 2.14
Episode 687	Average Score: 1.87
Episode 688	Average Score: 1.87
Episode 689	Average Score: -6.19
Episode 690	Average Score: 1.87
Episode 691	Average Score: -6.16
Episode 692	Average Score: -14.19
Episode 693	Average Score: -14.19
Episode 694	Average Score: -14.19
Episode 695	Average Score: -6.13
Episode 696	Average Score: 1.93
Episode 697	Average Score: 9.99
Episode 698	Average Score: 9.99
Episode 699	Average Score: 9.99
Episode 700	Average Score: 9.99
Episode 700	Average Score: 9.99

Episode 701	Average Score: 9.99
Episode 702	Average Score: 1.93
Episode 703	Average Score: -6.13
Episode 704	Average Score: -6.13
Episode 705	Average Score: -6.13
Episode 706	Average Score: -6.08
Episode 707	Average Score: -6.04
Episode 708	Average Score: -6.08
Episode 709	Average Score: 1.98
Episode 710	Average Score: 10.04
Episode 711	Average Score: 10.04
Episode 712	Average Score: 10.04
Episode 713	Average Score: 10.07
Episode 714	Average Score: 10.10
Episode 715	Average Score: 2.26
Episode 716	Average Score: -5.66
Episode 717	Average Score: -5.63
Episode 718	Average Score: -5.63
Episode 719	Average Score: -5.63
Episode 720	Average Score: -13.69
Episode 721	Average Score: -21.75
Episode 722	Average Score: -21.75
Episode 723	Average Score: -21.72
Episode 724	Average Score: -13.63
Episode 725	Average Score: -13.63
Episode 726	Average Score: -21.69
Episode 727	Average Score: -13.63
Episode 728	Average Score: -5.63
Episode 729	Average Score: -13.69
Episode 730	Average Score: -21.75
Episode 731	Average Score: -21.75
Episode 732	Average Score: -13.69
Episode 733	Average Score: -5.60
Episode 734	Average Score: 2.46
Episode 735	Average Score: -5.63
Episode 736	Average Score: -13.72
Episode 737	Average Score: -5.66
Episode 738	Average Score: -5.70
Episode 739	Average Score: 2.36
Episode 740	Average Score: 2.36
Episode 741	Average Score: 2.36
Episode 742	Average Score: 10.42
Episode 743	Average Score: 18.20
Episode 744	Average Score: 18.20
Episode 745	Average Score: 18.35
Episode 746	Average Score: 18.35
Episode 747	Average Score: 18.35
Episode 748	Average Score: 18.35
Episode 749	Average Score: 26.41
Episode 750	Average Score: 34.47
Episode 751	Average Score: 42.53
Episode 752	Average Score: 50.59
Episode 753	Average Score: 58.65
Episode 754	Average Score: 58.65
Episode 755	Average Score: 50.62
Episode 756	Average Score: 50.62
Episode 757	Average Score: 58.68
Episode 758	Average Score: 58.68
Episode 759	Average Score: 58.70
Episode 760	Average Score: 58.70
Episode 761	Average Score: 58.70
Episode 762	Average Score: 50.64
Episode 763	Average Score: 50.64
Episode 764	Average Score: 42.64
Episode 765	Average Score: 34.58
Episode 766	Average Score: 34.81
Episode 767	Average Score: 26.72
Episode 768	Average Score: 26.75
Episode 769	Average Score: 34.81
Episode 770	Average Score: 42.87
Episode 771	Average Score: 42.84
Episode 772	Average Score: 34.78
Episode 773	Average Score: 26.75
Episode 774	Average Score: 34.81
Episode 775	Average Score: 42.93
Episode 776	Average Score: 42.99
Episode 777	Average Score: 43.02
Episode 778	Average Score: 43.05
Episode 779	Average Score: 43.02
Episode 780	Average Score: 43.02
Episode 781	Average Score: 43.02
Episode 782	Average Score: 42.76
Episode 783	Average Score: 42.76
Episode 784	Average Score: 42.76
Episode 785	Average Score: 50.80
Episode 786	Average Score: 58.86
Episode 787	Average Score: 58.86
Episode 788	Average Score: 58.86
Episode 789	Average Score: 58.86
Episode 790	Average Score: 58.86
Episode 791	Average Score: 66.92
Episode 792	Average Score: 74.98
Episode 793	Average Score: 74.95
Episode 794	Average Score: 74.95
Episode 795	Average Score: 74.98
Episode 796	Average Score: 66.92
Episode 797	Average Score: 58.86
Episode 798	Average Score: 58.86
Episode 799	Average Score: 58.86
Episode 800	Average Score: 66.92
Episode 800	Average Score: 66.92

Episode 801	Average Score: 66.92
Episode 802	Average Score: 74.98
Episode 803	Average Score: 83.04
