pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 734	Average Score: -304.23
Episode 735	Average Score: -304.22
Episode 736	Average Score: -304.23
Episode 737	Average Score: -304.23
Episode 738	Average Score: -304.20
Episode 739	Average Score: -304.16
Episode 740	Average Score: -304.15
Episode 741	Average Score: -304.12
Episode 742	Average Score: -304.13
Episode 743	Average Score: -304.16
Episode 744	Average Score: -304.34
Episode 745	Average Score: -304.43
Episode 746	Average Score: -304.37
Episode 747	Average Score: -304.43
Episode 748	Average Score: -304.46
Episode 749	Average Score: -304.41
Episode 750	Average Score: -304.40
Episode 751	Average Score: -304.47
Episode 752	Average Score: -304.50
Episode 753	Average Score: -304.56
Episode 754	Average Score: -304.36
Episode 755	Average Score: -304.35
Episode 756	Average Score: -304.23
Episode 757	Average Score: -304.22
Episode 758	Average Score: -304.22
Episode 759	Average Score: -304.19
Episode 760	Average Score: -304.17
Episode 761	Average Score: -304.18
Episode 762	Average Score: -304.17
Episode 763	Average Score: -304.18
Episode 764	Average Score: -304.21
Episode 765	Average Score: -304.19
Episode 766	Average Score: -304.10
Episode 767	Average Score: -304.13
Episode 768	Average Score: -304.31
Episode 769	Average Score: -304.26
Episode 770	Average Score: -304.21
Episode 771	Average Score: -304.22
Episode 772	Average Score: -304.46
Episode 773	Average Score: -304.35
Episode 774	Average Score: -304.33
Episode 775	Average Score: -304.25
Episode 776	Average Score: -304.22
Episode 777	Average Score: -304.29
Episode 778	Average Score: -304.36
Episode 779	Average Score: -304.24
Episode 780	Average Score: -304.24
Episode 781	Average Score: -304.21
Episode 782	Average Score: -304.18
Episode 783	Average Score: -304.19
Episode 784	Average Score: -304.19
Episode 785	Average Score: -304.21
Episode 786	Average Score: -304.20
Episode 787	Average Score: -304.24
Episode 788	Average Score: -304.21
Episode 789	Average Score: -304.20
Episode 790	Average Score: -304.24
Episode 791	Average Score: -304.06
Episode 792	Average Score: -304.04
Episode 793	Average Score: -304.01
Episode 794	Average Score: -304.08
Episode 795	Average Score: -304.07
Episode 796	Average Score: -304.08
Episode 797	Average Score: -304.08
Episode 798	Average Score: -304.08
Episode 799	Average Score: -304.05
Episode 800	Average Score: -304.12
Episode 800	Average Score: -304.12

Episode 801	Average Score: -304.12
Episode 802	Average Score: -304.11
Episode 803	Average Score: -304.11
Episode 804	Average Score: -304.09
Episode 805	Average Score: -304.09
Episode 806	Average Score: -304.09
Episode 807	Average Score: -304.06
Episode 808	Average Score: -304.08
Episode 809	Average Score: -304.08
Episode 810	Average Score: -304.12
Episode 811	Average Score: -304.11
Episode 812	Average Score: -304.11
Episode 813	Average Score: -304.10
Episode 814	Average Score: -304.06
Episode 815	Average Score: -304.17
Episode 816	Average Score: -304.28
Episode 817	Average Score: -304.33
Episode 818	Average Score: -304.27
Episode 819	Average Score: -304.51
Episode 820	Average Score: -304.38
Episode 821	Average Score: -304.33
Episode 822	Average Score: -304.29
Episode 823	Average Score: -304.29
Episode 824	Average Score: -304.31
Episode 825	Average Score: -304.26
Episode 826	Average Score: -304.28
Episode 827	Average Score: -304.29
Episode 828	Average Score: -304.30
Episode 829	Average Score: -304.19
Episode 830	Average Score: -304.24
Episode 831	Average Score: -304.22
Episode 832	Average Score: -303.96
Episode 833	Average Score: -303.97
Episode 834	Average Score: -303.99
Episode 835	Average Score: -303.99
Episode 836	Average Score: -303.99
Episode 837	Average Score: -304.03
Episode 838	Average Score: -303.99
Episode 839	Average Score: -303.99
Episode 840	Average Score: -304.02
Episode 841	Average Score: -304.16
Episode 842	Average Score: -304.13
Episode 843	Average Score: -304.12
Episode 844	Average Score: -303.94
Episode 845	Average Score: -303.94
Episode 846	Average Score: -303.95
Episode 847	Average Score: -303.88
Episode 848	Average Score: -304.00
Episode 849	Average Score: -304.01
Episode 850	Average Score: -304.02
Episode 851	Average Score: -303.91
Episode 852	Average Score: -303.98
