pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 481	Average Score: -306.43
Episode 482	Average Score: -306.64
Episode 483	Average Score: -306.65
Episode 484	Average Score: -306.65
Episode 485	Average Score: -306.67
Episode 486	Average Score: -306.62
Episode 487	Average Score: -306.44
Episode 488	Average Score: -306.51
Episode 489	Average Score: -306.29
Episode 490	Average Score: -306.40
Episode 491	Average Score: -306.62
Episode 492	Average Score: -306.62
Episode 493	Average Score: -306.63
Episode 494	Average Score: -306.57
Episode 495	Average Score: -306.61
Episode 496	Average Score: -306.82
Episode 497	Average Score: -306.82
Episode 498	Average Score: -306.95
Episode 499	Average Score: -306.86
Episode 500	Average Score: -306.87
Episode 500	Average Score: -306.87

Episode 501	Average Score: -306.87
Episode 502	Average Score: -306.90
Episode 503	Average Score: -306.88
Episode 504	Average Score: -306.62
Episode 505	Average Score: -306.56
Episode 506	Average Score: -306.55
Episode 507	Average Score: -306.52
Episode 508	Average Score: -306.58
Episode 509	Average Score: -306.84
Episode 510	Average Score: -307.12
Episode 511	Average Score: -307.12
Episode 512	Average Score: -306.87
Episode 513	Average Score: -306.68
Episode 514	Average Score: -306.88
Episode 515	Average Score: -306.89
Episode 516	Average Score: -306.89
Episode 517	Average Score: -306.98
Episode 518	Average Score: -306.98
Episode 519	Average Score: -307.26
Episode 520	Average Score: -307.40
Episode 521	Average Score: -307.66
Episode 522	Average Score: -307.67
Episode 523	Average Score: -307.61
Episode 524	Average Score: -307.32
Episode 525	Average Score: -307.31
Episode 526	Average Score: -307.34
Episode 527	Average Score: -307.33
Episode 528	Average Score: -307.33
Episode 529	Average Score: -307.29
Episode 530	Average Score: -307.32
Episode 531	Average Score: -307.03
Episode 532	Average Score: -307.03
Episode 533	Average Score: -307.22
Episode 534	Average Score: -307.27
Episode 535	Average Score: -307.24
Episode 536	Average Score: -307.25
Episode 537	Average Score: -307.26
Episode 538	Average Score: -307.39
Episode 539	Average Score: -307.50
Episode 540	Average Score: -307.62
Episode 541	Average Score: -307.63
Episode 542	Average Score: -307.57
Episode 543	Average Score: -307.82
Episode 544	Average Score: -307.62
Episode 545	Average Score: -307.57
Episode 546	Average Score: -307.84
Episode 547	Average Score: -307.85
Episode 548	Average Score: -307.81
Episode 549	Average Score: -307.82
Episode 550	Average Score: -307.95
Episode 551	Average Score: -307.71
Episode 552	Average Score: -307.67
Episode 553	Average Score: -307.40
Episode 554	Average Score: -307.47
Episode 555	Average Score: -307.47
Episode 556	Average Score: -307.52
Episode 557	Average Score: -307.79
Episode 558	Average Score: -307.55
Episode 559	Average Score: -307.27
Episode 560	Average Score: -307.53
Episode 561	Average Score: -307.47
Episode 562	Average Score: -307.53
Episode 563	Average Score: -307.52
Episode 564	Average Score: -307.51
Episode 565	Average Score: -307.64
Episode 566	Average Score: -307.84
Episode 567	Average Score: -307.77
Episode 568	Average Score: -307.70
Episode 569	Average Score: -307.73
Episode 570	Average Score: -307.94
Episode 571	Average Score: -307.96
Episode 572	Average Score: -307.98
Episode 573	Average Score: -307.93
Episode 574	Average Score: -307.95
Episode 575	Average Score: -307.70
Episode 576	Average Score: -307.71
Episode 577	Average Score: -307.79
Episode 578	Average Score: -308.06
Episode 579	Average Score: -307.83
Episode 580	Average Score: -307.83
Episode 581	Average Score: -307.87
Episode 582	Average Score: -307.66
Episode 583	Average Score: -307.82
Episode 584	Average Score: -307.82
Episode 585	Average Score: -307.80
Episode 586	Average Score: -307.82
Episode 587	Average Score: -307.83
Episode 588	Average Score: -307.73
Episode 589	Average Score: -307.67
Episode 590	Average Score: -307.60
Episode 591	Average Score: -307.40
Episode 592	Average Score: -307.36
Episode 593	Average Score: -307.43
